epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,399.858,1.20921,0.67453,1.04033,0.85221,0.80866,0.84383,0.43017,1.68325,0.92499,1.29525,0.000523586,0.000523586,0.000523586
66,405.721,1.23265,0.64673,1.04485,0.89565,0.79084,0.85919,0.40504,1.75847,0.90684,1.31141,0.000509438,0.000509438,0.000509438
67,411.873,1.24076,0.6803,1.06247,0.86564,0.77602,0.86243,0.43315,1.70194,0.94157,1.28334,0.000495291,0.000495291,0.000495291
68,417.784,1.19572,0.66993,1.03796,0.77451,0.83313,0.84318,0.42917,1.69343,0.941,1.30232,0.000481144,0.000481144,0.000481144
69,423.929,1.19831,0.73747,1.04844,0.84058,0.79285,0.84784,0.43588,1.72983,0.8918,1.30619,0.000466997,0.000466997,0.000466997
70,429.827,1.21206,0.65908,1.06716,0.80352,0.79685,0.82219,0.4119,1.68226,0.86645,1.2794,0.00045285,0.00045285,0.00045285
71,436.037,1.20376,0.66752,1.02857,0.76446,0.83295,0.80461,0.41652,1.68758,0.93641,1.27471,0.000438703,0.000438703,0.000438703
72,442.04,1.18674,0.71787,1.0364,0.76317,0.77144,0.79572,0.40719,1.68345,0.96678,1.27795,0.000424556,0.000424556,0.000424556
73,448.332,1.12361,0.63879,1.07931,0.79213,0.73129,0.77024,0.3818,1.73334,0.95958,1.29765,0.000410409,0.000410409,0.000410409
74,454.318,1.16584,0.67895,1.05844,0.79357,0.75526,0.79331,0.40587,1.69186,0.91631,1.26835,0.000396262,0.000396262,0.000396262
75,460.442,1.11334,0.68176,1.0416,0.8411,0.74777,0.81878,0.4188,1.67189,0.86899,1.25802,0.000382115,0.000382115,0.000382115
76,466.762,1.14051,0.68434,1.05393,0.83898,0.76655,0.83304,0.40842,1.67261,0.8774,1.26117,0.000367967,0.000367967,0.000367967
77,472.715,1.18677,0.72409,1.05214,0.86996,0.81855,0.85535,0.41252,1.71746,0.83864,1.29151,0.00035382,0.00035382,0.00035382
78,479.022,1.09814,0.6542,1.01587,0.89049,0.83199,0.86546,0.42419,1.70997,0.83609,1.3075,0.000339673,0.000339673,0.000339673
79,484.873,1.18631,0.65022,1.02349,0.89005,0.86264,0.87085,0.43739,1.69194,0.82263,1.30269,0.000325526,0.000325526,0.000325526
80,491.337,1.13799,0.62892,1.016,0.86406,0.87981,0.86115,0.42351,1.67824,0.80786,1.30456,0.000311379,0.000311379,0.000311379
